sheet_name,row_number,series_label,period,value,variable
Summary 1,17,Net advances £ millions,2021-Q2,27451.946,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2021-Q3,16553.732,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2021-Q4,12178.59,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2022-Q1,17929.698,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2022-Q2,18845.363,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2022-Q3,21422.38,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2022-Q4,12924.285,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2023-Q1,-173.581,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2023-Q2,-402.093,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2023-Q3,2210.38,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2023-Q4,423.778,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2024-Q1,-1868.231,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2024-Q2,6694.175,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2024-Q3,10120.8,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2024-Q4,11113.458,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2025-Q1,19620.958,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2025-Q2,6650.946,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2025-Q3,16232.666,net_advances_gbp_m
Summary 1,17,Net advances £ millions,2025-Q4,15621.979,net_advances_gbp_m
Summary 1,18,New commitments £ millions,2007-Q1,92314.725,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2007-Q2,107704.912,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2007-Q3,101262.507,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2007-Q4,75797.33,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2008-Q1,74749.157,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2008-Q2,66851.909,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2008-Q3,49768.852,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2008-Q4,37474.23,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2009-Q1,28746.395,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2009-Q2,38811.364,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2009-Q3,38127.371,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2009-Q4,35798.264,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2010-Q1,33751.396,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2010-Q2,40601.073,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2010-Q3,38075.236,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2010-Q4,34600.256,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2011-Q1,34884.278,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2011-Q2,39576.837,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2011-Q3,41833.13,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2011-Q4,37045.063,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2012-Q1,37050.701,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2012-Q2,39810.945,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2012-Q3,35934.485,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2012-Q4,36885.163,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2013-Q1,35525.352,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2013-Q2,48141.055,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2013-Q3,50520.37,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2013-Q4,50356.32,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2014-Q1,48854.73,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2014-Q2,53482.17,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2014-Q3,53683.317,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2014-Q4,46236.67,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2015-Q1,47209.401,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2015-Q2,59564.667,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2015-Q3,64120.228,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2015-Q4,59463.693,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2016-Q1,60572.531,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2016-Q2,68108.783,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2016-Q3,61026.31,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2016-Q4,61704.766,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2017-Q1,61509.744,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2017-Q2,69094.828,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2017-Q3,69182.564,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2017-Q4,64875.187,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2018-Q1,61002.641,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2018-Q2,73180.942,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2018-Q3,72960.111,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2018-Q4,67876.238,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2019-Q1,63747.993,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2019-Q2,73363.516,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2019-Q3,73813.961,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2019-Q4,70616.924,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2020-Q1,67336.593,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2020-Q2,34420.936,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2020-Q3,78867.025,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2020-Q4,87734.811,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2021-Q1,77363.966,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2021-Q2,86068.531,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2021-Q3,78919.105,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2021-Q4,77297.251,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2022-Q1,82488.201,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2022-Q2,83979.379,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2022-Q3,87794.85,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2022-Q4,58343.441,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2023-Q1,45817.792,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2023-Q2,59475.872,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2023-Q3,49202.546,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2023-Q4,45975.766,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2024-Q1,60159.83,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2024-Q2,66939.102,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2024-Q3,66116.913,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2024-Q4,69387.677,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2025-Q1,68311.455,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2025-Q2,78156.273,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2025-Q3,79429.755,new_commitments_gbp_m
Summary 1,18,New commitments £ millions,2025-Q4,69941.098,new_commitments_gbp_m
Summary 1,22,Per cent of business at fixed rates Per cent,2007-Q1,64.794,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2007-Q2,67.45,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2007-Q3,67.114,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2007-Q4,57.041,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2008-Q1,45.876,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2008-Q2,56.372,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2008-Q3,52.684,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2008-Q4,43.729,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2009-Q1,47.487,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2009-Q2,64.555,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2009-Q3,66.633,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2009-Q4,49.667,fixed_rate_share_pct
Summary 1,22,Per cent of business at fixed rates Per cent,2010-Q1,37.331,fixed_rate_share_pct
