sheet_name,row_number,series_label,period,value,variable
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2011-Q3,1.929,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2011-Q4,1.843,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2012-Q1,1.754,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2012-Q2,1.69,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2012-Q3,1.698,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2012-Q4,1.662,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2013-Q1,1.646,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2013-Q2,1.596,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2013-Q3,1.523,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2013-Q4,1.445,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2014-Q1,1.372,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2014-Q2,1.281,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2014-Q3,1.185,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2014-Q4,1.109,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2015-Q1,1.071,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2015-Q2,1.035,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2015-Q3,0.986,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2015-Q4,0.951,serious_arrears_rate_pct
Summary 3,34,Total (exc 1.5 < 2.5% band) Per cent,2016-Q1,0.929,serious_arrears_rate_pct
